Grid Size,128
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
1,1,0,0,0,0,0,0,0,0
0,1,0,8,42.96875,42.969238,0,-2384.765381,-2728.515381,0
0,1,1,8,42.96875,42.968994,0,-2384.765381,-2685.546265,0
0,1,1,7,42.968994,42.968994,0,-2427.734253,-2685.546265,0
0,0,0,8,42.96875,42.969238,0,-2384.765381,-2728.515381,0
0,1,1,7,42.968994,42.968994,0,-2427.734253,-2685.546265,0
0,1,0,7,42.968994,42.969238,0,-2427.734253,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,9,42.968506,42.969238,0,-2341.796753,-2728.515381,0
0,1,1,9,42.968506,42.968994,0,-2341.796753,-2685.546265,0
0,1,1,8,42.96875,42.968994,0,-2384.765381,-2685.546265,0
0,0,0,9,42.968506,42.969238,0,-2341.796753,-2728.515381,0
0,1,1,8,42.96875,42.968994,0,-2384.765381,-2685.546265,0
0,1,0,8,42.96875,42.969238,0,-2384.765381,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,10,42.96875,42.969238,0,-2298.828125,-2728.515381,0
0,1,1,10,42.96875,42.968994,0,-2298.828125,-2685.546265,0
0,1,1,9,42.968506,42.968994,0,-2341.796753,-2685.546265,0
0,0,0,10,42.96875,42.969238,0,-2298.828125,-2728.515381,0
0,1,1,9,42.968506,42.968994,0,-2341.796753,-2685.546265,0
0,1,0,9,42.968506,42.969238,0,-2341.796753,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,11,42.96875,42.969238,0,-2255.859375,-2728.515381,0
0,1,1,11,42.96875,42.968994,0,-2255.859375,-2685.546265,0
0,1,1,10,42.96875,42.968994,0,-2298.828125,-2685.546265,0
0,0,0,11,42.96875,42.969238,0,-2255.859375,-2728.515381,0
0,1,1,10,42.96875,42.968994,0,-2298.828125,-2685.546265,0
0,1,0,10,42.96875,42.969238,0,-2298.828125,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,12,42.968994,42.969238,0,-2212.890503,-2728.515381,0
0,1,1,12,42.968994,42.968994,0,-2212.890503,-2685.546265,0
0,1,1,11,42.96875,42.968994,0,-2255.859375,-2685.546265,0
0,0,0,12,42.968994,42.969238,0,-2212.890503,-2728.515381,0
0,1,1,11,42.96875,42.968994,0,-2255.859375,-2685.546265,0
0,1,0,11,42.96875,42.969238,0,-2255.859375,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,13,42.968506,42.969238,0,-2169.921753,-2728.515381,0
0,1,1,13,42.968506,42.968994,0,-2169.921753,-2685.546265,0
0,1,1,12,42.968994,42.968994,0,-2212.890503,-2685.546265,0
0,0,0,13,42.968506,42.969238,0,-2169.921753,-2728.515381,0
0,1,1,12,42.968994,42.968994,0,-2212.890503,-2685.546265,0
0,1,0,12,42.968994,42.969238,0,-2212.890503,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,14,42.96875,42.969238,0,-2126.953125,-2728.515381,0
0,1,1,14,42.96875,42.968994,0,-2126.953125,-2685.546265,0
0,1,1,13,42.968506,42.968994,0,-2169.921753,-2685.546265,0
0,0,0,14,42.96875,42.969238,0,-2126.953125,-2728.515381,0
0,1,1,13,42.968506,42.968994,0,-2169.921753,-2685.546265,0
0,1,0,13,42.968506,42.969238,0,-2169.921753,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,15,42.96875,42.969238,0,-2083.984375,-2728.515381,0
0,1,1,15,42.96875,42.968994,0,-2083.984375,-2685.546265,0
0,1,1,14,42.96875,42.968994,0,-2126.953125,-2685.546265,0
0,0,0,15,42.96875,42.969238,0,-2083.984375,-2728.515381,0
0,1,1,14,42.96875,42.968994,0,-2126.953125,-2685.546265,0
0,1,0,14,42.96875,42.969238,0,-2126.953125,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,16,42.968872,42.969238,0,-2041.015564,-2728.515381,0
0,1,1,16,42.968872,42.968994,0,-2041.015564,-2685.546265,0
0,1,1,15,42.96875,42.968994,0,-2083.984375,-2685.546265,0
0,0,0,16,42.968872,42.969238,0,-2041.015564,-2728.515381,0
0,1,1,15,42.96875,42.968994,0,-2083.984375,-2685.546265,0
0,1,0,15,42.96875,42.969238,0,-2083.984375,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,17,42.96875,42.969238,0,-1998.046753,-2728.515381,0
0,1,1,17,42.96875,42.968994,0,-1998.046753,-2685.546265,0
0,1,1,16,42.968872,42.968994,0,-2041.015564,-2685.546265,0
0,0,0,17,42.96875,42.969238,0,-1998.046753,-2728.515381,0
0,1,1,16,42.968872,42.968994,0,-2041.015564,-2685.546265,0
0,1,0,16,42.968872,42.969238,0,-2041.015564,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,18,42.968872,42.969238,0,-1955.077942,-2728.515381,0
0,1,1,18,42.968872,42.968994,0,-1955.077942,-2685.546265,0
0,1,1,17,42.96875,42.968994,0,-1998.046753,-2685.546265,0
0,0,0,18,42.968872,42.969238,0,-1955.077942,-2728.515381,0
0,1,1,17,42.96875,42.968994,0,-1998.046753,-2685.546265,0
0,1,0,17,42.96875,42.969238,0,-1998.046753,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,19,42.968628,42.969238,0,-1912.109192,-2728.515381,0
0,1,1,19,42.968628,42.968994,0,-1912.109192,-2685.546265,0
0,1,1,18,42.968872,42.968994,0,-1955.077942,-2685.546265,0
0,0,0,19,42.968628,42.969238,0,-1912.109192,-2728.515381,0
0,1,1,18,42.968872,42.968994,0,-1955.077942,-2685.546265,0
0,1,0,18,42.968872,42.969238,0,-1955.077942,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,20,42.96875,42.969238,0,-1869.140503,-2728.515381,0
0,1,1,20,42.96875,42.968994,0,-1869.140503,-2685.546265,0
0,1,1,19,42.968628,42.968994,0,-1912.109192,-2685.546265,0
0,0,0,20,42.96875,42.969238,0,-1869.140503,-2728.515381,0
0,1,1,19,42.968628,42.968994,0,-1912.109192,-2685.546265,0
0,1,0,19,42.968628,42.969238,0,-1912.109192,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,21,42.96875,42.969238,0,-1826.171753,-2728.515381,0
0,1,1,21,42.96875,42.968994,0,-1826.171753,-2685.546265,0
0,1,1,20,42.96875,42.968994,0,-1869.140503,-2685.546265,0
0,0,0,21,42.96875,42.969238,0,-1826.171753,-2728.515381,0
0,1,1,20,42.96875,42.968994,0,-1869.140503,-2685.546265,0
0,1,0,20,42.96875,42.969238,0,-1869.140503,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,22,42.968872,42.969238,0,-1783.202942,-2728.515381,0
0,1,1,22,42.968872,42.968994,0,-1783.202942,-2685.546265,0
0,1,1,21,42.96875,42.968994,0,-1826.171753,-2685.546265,0
0,0,0,22,42.968872,42.969238,0,-1783.202942,-2728.515381,0
0,1,1,21,42.96875,42.968994,0,-1826.171753,-2685.546265,0
0,1,0,21,42.96875,42.969238,0,-1826.171753,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,23,42.968628,42.969238,0,-1740.234192,-2728.515381,0
0,1,1,23,42.968628,42.968994,0,-1740.234192,-2685.546265,0
0,1,1,22,42.968872,42.968994,0,-1783.202942,-2685.546265,0
0,0,0,23,42.968628,42.969238,0,-1740.234192,-2728.515381,0
0,1,1,22,42.968872,42.968994,0,-1783.202942,-2685.546265,0
0,1,0,22,42.968872,42.969238,0,-1783.202942,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,24,42.968628,42.969238,0,-1697.265564,-2728.515381,0
0,1,1,24,42.968628,42.968994,0,-1697.265564,-2685.546265,0
0,1,1,23,42.968628,42.968994,0,-1740.234192,-2685.546265,0
0,0,0,24,42.968628,42.969238,0,-1697.265564,-2728.515381,0
0,1,1,23,42.968628,42.968994,0,-1740.234192,-2685.546265,0
0,1,0,23,42.968628,42.969238,0,-1740.234192,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,25,42.968872,42.969238,0,-1654.296814,-2728.515381,0
0,1,1,25,42.968872,42.968994,0,-1654.296814,-2685.546265,0
0,1,1,24,42.968628,42.968994,0,-1697.265564,-2685.546265,0
0,0,0,25,42.968872,42.969238,0,-1654.296814,-2728.515381,0
0,1,1,24,42.968628,42.968994,0,-1697.265564,-2685.546265,0
0,1,0,24,42.968628,42.969238,0,-1697.265564,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,26,42.96875,42.969238,0,-1611.328003,-2728.515381,0
0,1,1,26,42.96875,42.968994,0,-1611.328003,-2685.546265,0
0,1,1,25,42.968872,42.968994,0,-1654.296814,-2685.546265,0
0,0,0,26,42.96875,42.969238,0,-1611.328003,-2728.515381,0
0,1,1,25,42.968872,42.968994,0,-1654.296814,-2685.546265,0
0,1,0,25,42.968872,42.969238,0,-1654.296814,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,27,42.96875,42.969238,0,-1568.359253,-2728.515381,0
0,1,1,27,42.96875,42.968994,0,-1568.359253,-2685.546265,0
0,1,1,26,42.96875,42.968994,0,-1611.328003,-2685.546265,0
0,0,0,27,42.96875,42.969238,0,-1568.359253,-2728.515381,0
0,1,1,26,42.96875,42.968994,0,-1611.328003,-2685.546265,0
0,1,0,26,42.96875,42.969238,0,-1611.328003,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,28,42.968628,42.969238,0,-1525.390564,-2728.515381,0
0,1,1,28,42.968628,42.968994,0,-1525.390564,-2685.546265,0
0,1,1,27,42.96875,42.968994,0,-1568.359253,-2685.546265,0
0,0,0,28,42.968628,42.969238,0,-1525.390564,-2728.515381,0
0,1,1,27,42.96875,42.968994,0,-1568.359253,-2685.546265,0
0,1,0,27,42.96875,42.969238,0,-1568.359253,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,29,42.96875,42.969238,0,-1482.421875,-2728.515381,0
0,1,1,29,42.96875,42.968994,0,-1482.421875,-2685.546265,0
0,1,1,28,42.968628,42.968994,0,-1525.390564,-2685.546265,0
0,0,0,29,42.96875,42.969238,0,-1482.421875,-2728.515381,0
0,1,1,28,42.968628,42.968994,0,-1525.390564,-2685.546265,0
0,1,0,28,42.968628,42.969238,0,-1525.390564,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,30,42.968872,42.969238,0,-1439.453064,-2728.515381,0
0,1,1,30,42.968872,42.968994,0,-1439.453064,-2685.546265,0
0,1,1,29,42.96875,42.968994,0,-1482.421875,-2685.546265,0
0,0,0,30,42.968872,42.969238,0,-1439.453064,-2728.515381,0
0,1,1,29,42.96875,42.968994,0,-1482.421875,-2685.546265,0
0,1,0,29,42.96875,42.969238,0,-1482.421875,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,31,42.968628,42.969238,0,-1396.484314,-2728.515381,0
0,1,1,31,42.968628,42.968994,0,-1396.484314,-2685.546265,0
0,1,1,30,42.968872,42.968994,0,-1439.453064,-2685.546265,0
0,0,0,31,42.968628,42.969238,0,-1396.484314,-2728.515381,0
0,1,1,30,42.968872,42.968994,0,-1439.453064,-2685.546265,0
0,1,0,30,42.968872,42.969238,0,-1439.453064,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,32,42.96875,42.969238,0,-1353.515625,-2728.515381,0
0,1,1,32,42.96875,42.968994,0,-1353.515625,-2685.546265,0
0,1,1,31,42.968628,42.968994,0,-1396.484314,-2685.546265,0
0,0,0,32,42.96875,42.969238,0,-1353.515625,-2728.515381,0
0,1,1,31,42.968628,42.968994,0,-1396.484314,-2685.546265,0
0,1,0,31,42.968628,42.969238,0,-1396.484314,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,33,42.96875,42.969238,0,-1310.546875,-2728.515381,0
0,1,1,33,42.96875,42.968994,0,-1310.546875,-2685.546265,0
0,1,1,32,42.96875,42.968994,0,-1353.515625,-2685.546265,0
0,0,0,33,42.96875,42.969238,0,-1310.546875,-2728.515381,0
0,1,1,32,42.96875,42.968994,0,-1353.515625,-2685.546265,0
0,1,0,32,42.96875,42.969238,0,-1353.515625,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,34,42.968872,42.969238,0,-1267.578064,-2728.515381,0
0,1,1,34,42.968872,42.968994,0,-1267.578064,-2685.546265,0
0,1,1,33,42.96875,42.968994,0,-1310.546875,-2685.546265,0
0,0,0,34,42.968872,42.969238,0,-1267.578064,-2728.515381,0
0,1,1,33,42.96875,42.968994,0,-1310.546875,-2685.546265,0
0,1,0,33,42.96875,42.969238,0,-1310.546875,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,35,42.96875,42.969238,0,-1224.609253,-2728.515381,0
0,1,1,35,42.96875,42.968994,0,-1224.609253,-2685.546265,0
0,1,1,34,42.968872,42.968994,0,-1267.578064,-2685.546265,0
0,0,0,35,42.96875,42.969238,0,-1224.609253,-2728.515381,0
0,1,1,34,42.968872,42.968994,0,-1267.578064,-2685.546265,0
0,1,0,34,42.968872,42.969238,0,-1267.578064,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,36,42.968628,42.969238,0,-1181.640564,-2728.515381,0
0,1,1,36,42.968628,42.968994,0,-1181.640564,-2685.546265,0
0,1,1,35,42.96875,42.968994,0,-1224.609253,-2685.546265,0
0,0,0,36,42.968628,42.969238,0,-1181.640564,-2728.515381,0
0,1,1,35,42.96875,42.968994,0,-1224.609253,-2685.546265,0
0,1,0,35,42.96875,42.969238,0,-1224.609253,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,37,42.96875,42.969238,0,-1138.671875,-2728.515381,0
0,1,1,37,42.96875,42.968994,0,-1138.671875,-2685.546265,0
0,1,1,36,42.968628,42.968994,0,-1181.640564,-2685.546265,0
0,0,0,37,42.96875,42.969238,0,-1138.671875,-2728.515381,0
0,1,1,36,42.968628,42.968994,0,-1181.640564,-2685.546265,0
0,1,0,36,42.968628,42.969238,0,-1181.640564,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,38,42.96875,42.969238,0,-1095.703125,-2728.515381,0
0,1,1,38,42.96875,42.968994,0,-1095.703125,-2685.546265,0
0,1,1,37,42.96875,42.968994,0,-1138.671875,-2685.546265,0
0,0,0,38,42.96875,42.969238,0,-1095.703125,-2728.515381,0
0,1,1,37,42.96875,42.968994,0,-1138.671875,-2685.546265,0
0,1,0,37,42.96875,42.969238,0,-1138.671875,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,39,42.96875,42.969238,0,-1052.734375,-2728.515381,0
0,1,1,39,42.96875,42.968994,0,-1052.734375,-2685.546265,0
0,1,1,38,42.96875,42.968994,0,-1095.703125,-2685.546265,0
0,0,0,39,42.96875,42.969238,0,-1052.734375,-2728.515381,0
0,1,1,38,42.96875,42.968994,0,-1095.703125,-2685.546265,0
0,1,0,38,42.96875,42.969238,0,-1095.703125,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,40,42.96875,42.969238,0,-1009.765625,-2728.515381,0
0,1,1,40,42.96875,42.968994,0,-1009.765625,-2685.546265,0
0,1,1,39,42.96875,42.968994,0,-1052.734375,-2685.546265,0
0,0,0,40,42.96875,42.969238,0,-1009.765625,-2728.515381,0
0,1,1,39,42.96875,42.968994,0,-1052.734375,-2685.546265,0
0,1,0,39,42.96875,42.969238,0,-1052.734375,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,41,42.968811,42.969238,0,-966.7968445,-2728.515381,0
0,1,1,41,42.968811,42.968994,0,-966.7968445,-2685.546265,0
0,1,1,40,42.96875,42.968994,0,-1009.765625,-2685.546265,0
0,0,0,41,42.968811,42.969238,0,-966.7968445,-2728.515381,0
0,1,1,40,42.96875,42.968994,0,-1009.765625,-2685.546265,0
0,1,0,40,42.96875,42.969238,0,-1009.765625,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,42,42.96875,42.969238,0,-923.828064,-2728.515381,0
0,1,1,42,42.96875,42.968994,0,-923.828064,-2685.546265,0
0,1,1,41,42.968811,42.968994,0,-966.7968445,-2685.546265,0
0,0,0,42,42.96875,42.969238,0,-923.828064,-2728.515381,0
0,1,1,41,42.968811,42.968994,0,-966.7968445,-2685.546265,0
0,1,0,41,42.968811,42.969238,0,-966.7968445,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,43,42.96875,42.969238,0,-880.859314,-2728.515381,0
0,1,1,43,42.96875,42.968994,0,-880.859314,-2685.546265,0
0,1,1,42,42.96875,42.968994,0,-923.828064,-2685.546265,0
0,0,0,43,42.96875,42.969238,0,-880.859314,-2728.515381,0
0,1,1,42,42.96875,42.968994,0,-923.828064,-2685.546265,0
0,1,0,42,42.96875,42.969238,0,-923.828064,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,44,42.96875,42.969238,0,-837.890564,-2728.515381,0
0,1,1,44,42.96875,42.968994,0,-837.890564,-2685.546265,0
0,1,1,43,42.96875,42.968994,0,-880.859314,-2685.546265,0
0,0,0,44,42.96875,42.969238,0,-837.890564,-2728.515381,0
0,1,1,43,42.96875,42.968994,0,-880.859314,-2685.546265,0
0,1,0,43,42.96875,42.969238,0,-880.859314,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,45,42.96875,42.969238,0,-794.921814,-2728.515381,0
0,1,1,45,42.96875,42.968994,0,-794.921814,-2685.546265,0
0,1,1,44,42.96875,42.968994,0,-837.890564,-2685.546265,0
0,0,0,45,42.96875,42.969238,0,-794.921814,-2728.515381,0
0,1,1,44,42.96875,42.968994,0,-837.890564,-2685.546265,0
0,1,0,44,42.96875,42.969238,0,-837.890564,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,46,42.968689,42.969238,0,-751.9530945,-2728.515381,0
0,1,1,46,42.968689,42.968994,0,-751.9530945,-2685.546265,0
0,1,1,45,42.96875,42.968994,0,-794.921814,-2685.546265,0
0,0,0,46,42.968689,42.969238,0,-751.9530945,-2728.515381,0
0,1,1,45,42.96875,42.968994,0,-794.921814,-2685.546265,0
0,1,0,45,42.96875,42.969238,0,-794.921814,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,47,42.96875,42.969238,0,-708.984375,-2728.515381,0
0,1,1,47,42.96875,42.968994,0,-708.984375,-2685.546265,0
0,1,1,46,42.968689,42.968994,0,-751.9530945,-2685.546265,0
0,0,0,47,42.96875,42.969238,0,-708.984375,-2728.515381,0
0,1,1,46,42.968689,42.968994,0,-751.9530945,-2685.546265,0
0,1,0,46,42.968689,42.969238,0,-751.9530945,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,48,42.968811,42.969238,0,-666.0155945,-2728.515381,0
0,1,1,48,42.968811,42.968994,0,-666.0155945,-2685.546265,0
0,1,1,47,42.96875,42.968994,0,-708.984375,-2685.546265,0
0,0,0,48,42.968811,42.969238,0,-666.0155945,-2728.515381,0
0,1,1,47,42.96875,42.968994,0,-708.984375,-2685.546265,0
0,1,0,47,42.96875,42.969238,0,-708.984375,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,49,42.96875,42.969238,0,-623.046814,-2728.515381,0
0,1,1,49,42.96875,42.968994,0,-623.046814,-2685.546265,0
0,1,1,48,42.968811,42.968994,0,-666.0155945,-2685.546265,0
0,0,0,49,42.96875,42.969238,0,-623.046814,-2728.515381,0
0,1,1,48,42.968811,42.968994,0,-666.0155945,-2685.546265,0
0,1,0,48,42.968811,42.969238,0,-666.0155945,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,50,42.96875,42.969238,0,-580.078064,-2728.515381,0
0,1,1,50,42.96875,42.968994,0,-580.078064,-2685.546265,0
0,1,1,49,42.96875,42.968994,0,-623.046814,-2685.546265,0
0,0,0,50,42.96875,42.969238,0,-580.078064,-2728.515381,0
0,1,1,49,42.96875,42.968994,0,-623.046814,-2685.546265,0
0,1,0,49,42.96875,42.969238,0,-623.046814,-2728.515381,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
